d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,applicable,diagnostic_status,formula,mean_definition,surface_charge_definition,surface_charge_sign_convention,interpretation,gouy_chapman_numerator_C_per_m,metal,effective_C_H_F_per_m2,boundary_length_m,boundary_area_m2,n_boundary_quadrature_points,n_boundary_samples,mean_signed_sigma_C_per_m2,mean_abs_sigma_C_per_m2,local_min_sigma_C_per_m2,local_max_sigma_C_per_m2,charge_sign,has_sign_change,has_zero_charge,has_zero_crossing,mean_gouy_chapman_length_m,mean_gouy_chapman_length_nm,mean_length_infinite,local_min_gouy_chapman_length_m,local_min_gouy_chapman_length_nm,local_max_gouy_chapman_length_m,local_max_gouy_chapman_length_nm,local_max_length_infinite,zero_tolerance_C_per_m2
0.0,0.0,0.0,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,2501,2501,-0.03535222472754287,0.03535222472754287,-0.03945947398721518,-0.035124024558881264,negative,False,False,False,1.0097133911795577e-09,1.0097133911795577,False,9.046145604210149e-10,0.9046145604210148,1.0162734812905526e-09,1.0162734812905525,False,1.1215057039412153e-15
0.0,0.0,0.0,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.4999999999999992e-08,2.499999999999999e-10,2501,2501,-0.025767481026133833,0.025767481026133833,-0.026078740813565017,-0.018918947974430347,negative,False,False,False,1.3852970214351184e-09,1.3852970214351183,False,1.368762969446049e-09,1.368762969446049,1.886765308707073e-09,1.886765308707073,False,7.412023937139627e-16
5e-10,0.5,0.164407818922009,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.5000000000000002e-08,2.5e-10,2476,2476,-0.03546695755887182,0.03546695755887182,-0.04167365367263348,-0.0351613402516919,negative,False,False,False,1.0064470474000415e-09,1.0064470474000415,False,8.565511197025172e-10,0.8565511197025173,1.0151949402347232e-09,1.0151949402347231,False,1.1844364755868776e-15
5e-10,0.5,0.164407818922009,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.5000000000000002e-08,2.5e-10,2476,2476,-0.026042459238461258,0.026042459238461258,-0.02673362738206732,-0.02534135809004642,negative,False,False,False,1.3706698890660617e-09,1.3706698890660618,False,1.3352327465794421e-09,1.335232746579442,1.408591228163484e-09,1.408591228163484,False,7.598153894738096e-16
1e-09,1.0,0.328815637844018,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999986e-08,2.4999999999999986e-10,2452,2452,-0.03556427077545754,0.03556427077545754,-0.043038397746644856,-0.03519044783763144,negative,False,False,False,1.0036931430637467e-09,1.0036931430637468,False,8.293899537227046e-10,0.8293899537227046,1.0143552273073797e-09,1.0143552273073797,False,1.2232248351052947e-15
1e-09,1.0,0.328815637844018,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.4999999999999986e-08,2.4999999999999986e-10,2452,2452,-0.026248607490806816,0.026248607490806816,-0.030723440189342522,-0.026159208779693813,negative,False,False,False,1.359905081741612e-09,1.3599050817416118,False,1.1618365162040473e-09,1.1618365162040474,1.3645525373496001e-09,1.3645525373496001,False,8.732126897638898e-16
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,2428,2428,-0.03564595824837135,0.03564595824837135,-0.04407038495668898,-0.03521427041582564,negative,False,False,False,1.0013930462093846e-09,1.0013930462093845,False,8.099682984496206e-10,0.8099682984496206,1.0136690124168288e-09,1.0136690124168288,False,1.2525556757250621e-15
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.5000000000000002e-08,2.5e-10,2428,2428,-0.026411167563847836,0.026411167563847836,-0.03349805278264413,-0.026201673853140036,negative,False,False,False,1.351534900117405e-09,1.3515349001174048,False,1.0656026768780897e-09,1.0656026768780897,1.3623410059778043e-09,1.3623410059778043,False,9.520719226726479e-16
2e-09,2.0,0.657631275688036,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Au,0.2,2.4999999999999992e-08,2.499999999999999e-10,2405,2405,-0.03571416641268642,0.03571416641268642,-0.04488224643869128,-0.035233646544544826,negative,False,False,False,9.994805507404843e-10,0.9994805507404844,False,7.953170250546393e-10,0.7953170250546393,1.013111562842644e-09,1.013111562842644,False,1.2756301668642686e-15
2e-09,2.0,0.657631275688036,True,computed_from_stern_surface_charge,l_GC = 2 epsilon_s R T / (F |sigma|),"l_GC,mean = 2 epsilon_s R T / (F <|sigma|>_boundary)","sigma_M = C_H,M,eff (E_mix - PZC_M - phi_s)",positive sigma denotes positive charge on the metal side,Charge-derived diagnostic on the flush Au/Pd Stern boundaries evaluated from the cosine-spectral surface field; not an independent screening length in the linearized-PB equation and not a substrate-gap charge length.,3.569561471538913e-11,Pd,0.4,2.5000000000000015e-08,2.5000000000000017e-10,2405,2405,-0.02654161907685333,0.02654161907685333,-0.03557018282901738,-0.026228036628662407,negative,False,False,False,1.3448921338230982e-09,1.3448921338230981,False,1.0035263211036807e-09,1.0035263211036807,1.3609716663419787e-09,1.3609716663419786,False,1.010965400752678e-15
